name,start_node_id,end_node_id,attribute1,attribute2
,1873281080,6649591401,1,8.333333333333334
,1873281080,6754944660,1,8.333333333333334
Chhatra Marg-719561144,1873281080,6673603002,2,8.333333333333334
Mahatma Gandhi Marg-77629944,2471585484,9181767901,2,13.88888888888889
Chhatra Marg-176847225,2471585484,2471585485,2,8.333333333333334
Chhatra Marg-176847225,2471585484,2969962400,2,8.333333333333334
Mahatma Gandhi Marg-77629937,2471585485,4556160784,2,13.88888888888889
Chhatra Marg-176847225,2471585485,2471585484,2,8.333333333333334
Brig S K Majumdar Marg-293137663,2471585485,9849590802,1,8.333333333333334
GTB Marg-243739076,2511131247,4929042278,1,8.333333333333334
Mahatma Gandhi Marg-77629944,2511131247,9863295102,2,13.88888888888889
GTB Marg-243739076,2511131247,8989350687,1,8.333333333333334
Shreya Mishra Marg-244052110,2514069583,9865032762,1,8.333333333333334
Shreya Mishra Marg-685106013,2514069583,10610428366,1,8.333333333333334
Mahatma Gandhi Marg-77629937,2935766111,3661703915,2,13.88888888888889
Lucknow Road-290039450,2935766111,2935766117,1,8.333333333333334
Lucknow Road-290039450,2935766117,2935766124,1,8.333333333333334
Lucknow Road-290039450,2935766117,2935766111,1,8.333333333333334
Lucknow Road-290039450,2935766124,2935766117,1,8.333333333333334
Chaubhurja Marg-541899831,2939969321,2945827905,1,8.333333333333334
,2940370460,2945827898,1,8.333333333333334
,2945827898,4231889759,1,8.333333333333334
,2945827898,2945827921,1,8.333333333333334
Chaubhurja Marg-776975841,2945827905,9840505818,1,8.333333333333334
,2945827905,2940370460,1,8.333333333333334
Vishwavidyalaya Road-291151598,2945827921,2945828442,1,8.333333333333334
Acharya Sushil Marg-291151600,2945827921,2939969321,1,8.333333333333334
Sudhir Bose Marg-1162978505,2945827921,9870115875,1,8.333333333333334
Vishwavidyalaya Road-291151598,2945828442,2945828443,1,8.333333333333334
Vishwavidyalaya Road-291151598,2945828442,2945827921,1,8.333333333333334
G C Narang Marg-679429530,2945828443,10713708180,1,8.333333333333334
Vishwavidyalaya Road-291151598,2945828443,2945828444,1,8.333333333333334
Vishwavidyalaya Road-291151598,2945828443,2945828442,1,8.333333333333334
Mahatma Gandhi Marg-77629944,2945828444,2958094342,2,13.88888888888889
Vishwavidyalaya Road-291151598,2945828444,3661703915,1,8.333333333333334
Vishwavidyalaya Road-291151598,2945828444,2945828443,1,8.333333333333334
Chhatra Marg-176847225,2958094336,10280095501,2,8.333333333333334
Shreya Mishra Marg-244052110,2958094336,10280095498,1,8.333333333333334
Chhatra Marg-176847225,2958094336,10280095505,2,8.333333333333334
Cavalry Lane-292256948,2958094339,2958094341,1,8.333333333333334
G C Narang Marg-679429530,2958094339,10713708180,1,8.333333333333334
G C Narang Marg-679429530,2958094339,6362190795,1,8.333333333333334
Chhatra Marg-176847225,2958094340,8989350688,2,8.333333333333334
Chhatra Marg-176847225,2958094340,10280095505,2,8.333333333333334
Cavalry Lane-292256948,2958094341,2958094339,1,8.333333333333334
Cavalry Lane-292256952,2958094341,2958094343,1,8.333333333333334
Mahatma Gandhi Marg-77629944,2958094342,2958094343,2,13.88888888888889
Cavalry Lane-292256952,2958094342,2958094341,1,8.333333333333334
Mahatma Gandhi Marg-77629944,2958094343,10908515326,2,13.88888888888889
,2961579581,11021406444,1,8.333333333333334
Canal Road-292622188,2961579581,6673229091,1,8.333333333333334
Sudhir Bose Marg-291151604,2961579581,6636468161,1,8.333333333333334
Chhatra Marg-176847225,2969962400,6362190794,2,8.333333333333334
,2969962400,2969962402,1,8.333333333333334
Chhatra Marg-176847225,2969962400,2471585484,2,8.333333333333334
,2969962402,11021329058,1,8.333333333333334
,2969962402,9849636923,1,8.333333333333334
,2969962402,2969962400,1,8.333333333333334
,2969962409,11021329058,1,8.333333333333334
,2969962409,9852263843,1,8.333333333333334
,2969962409,9849990920,1,8.333333333333334
Brig S K Majumdar Marg-293137663,2971778134,9849590802,1,8.333333333333334
,2971778134,4556160784,1,8.333333333333334
Vishwavidyalaya Road-291151598,3661703915,2945828444,1,8.333333333333334
,4231889750,9871480986,1,8.333333333333334
Chhatra Marg-719561144,4231889750,1873281080,2,8.333333333333334
,4231889752,4231889754,1,8.333333333333334
,4231889752,4231889753,1,8.333333333333334
,4231889753,4231889752,1,8.333333333333334
,4231889754,4231889752,1,8.333333333333334
,4231889754,4231889756,1,8.333333333333334
,4231889754,4231889759,1,8.333333333333334
,4231889756,4231889754,1,8.333333333333334
,4231889756,4231889759,1,8.333333333333334
,4231889756,6645673033,1,8.333333333333334
,4231889759,2945827898,1,8.333333333333334
,4231889759,4231889756,1,8.333333333333334
,4231889759,4231889754,1,8.333333333333334
,4231908379,6645673032,1,8.333333333333334
Mahatma Gandhi Marg-77629937,4556160784,2935766111,2,13.88888888888889
,4556160784,2971778134,1,8.333333333333334
GTB Marg-243739076,4929042278,2511131247,1,8.333333333333334
Mahatma Gandhi Marg-77629937,4929042278,10279621410,2,13.88888888888889
Mahatma Gandhi Marg-1162978514,6257738690,4929042278,2,13.88888888888889
Chhatra Marg-176847225,6362190794,2969962400,2,8.333333333333334
Chhatra Marg-176847225,6362190794,8989350688,2,8.333333333333334
GC Narang Marg-679429531,6362190794,6362190795,1,8.333333333333334
GC Narang Marg-292256949,6362190795,2958094340,1,8.333333333333334
G C Narang Marg-679429530,6362190795,2958094339,1,8.333333333333334
,6419226649,6642826792,1,8.333333333333334
Canal Road-1075474271,6419226649,2961579590,1,8.333333333333334
Canal Road-1075474271,6419492014,6642826805,1,8.333333333333334
Thekedar Surjit Singh Marg-685106016,6419492014,9863295106,1,8.333333333333334
Sudhir Bose Marg-1116771260,6636468161,2961579581,1,8.333333333333334
Sudhir Bose Marg-291151604,6636468161,9659792525,1,8.333333333333334
,6636570683,6738548847,1,8.333333333333334
,6636584587,9181767890,1,8.333333333333334
,6636584588,9181780471,1,8.333333333333334
,6636584588,10280095506,1,8.333333333333334
,6636584588,6738548847,1,8.333333333333334
Canal Road-1075474271,6639619874,6642826799,1,8.333333333333334
,6639619874,9863295107,1,8.333333333333334
,6639619874,6642826801,1,8.333333333333334
,6642826785,6642826799,1,8.333333333333334
,6642826785,6642826792,1,8.333333333333334
,6642826785,6642826801,1,8.333333333333334
,6642826792,6419226649,1,8.333333333333334
,6642826792,6642826785,1,8.333333333333334
,6642826799,6642826785,1,8.333333333333334
Canal Road-1075474271,6642826799,6419226649,1,8.333333333333334
,6642826801,6639619874,1,8.333333333333334
,6642826801,6642826805,1,8.333333333333334
,6642826801,6642826785,1,8.333333333333334
Canal Road-1075474271,6642826805,6639619874,1,8.333333333333334
,6642826805,6642826801,1,8.333333333333334
,6645673022,6645673024,1,8.333333333333334
,6645673022,6645673032,1,8.333333333333334
,6645673023,6645673024,1,8.333333333333334
,6645673024,6645673023,1,8.333333333333334
,6645673024,6645673022,1,8.333333333333334
,6645673032,4231908379,1,8.333333333333334
,6645673032,6645673033,1,8.333333333333334
,6645673032,6645673022,1,8.333333333333334
,6645673033,6645673032,1,8.333333333333334
,6645673033,4231889756,1,8.333333333333334
,6645673033,9901232347,1,8.333333333333334
,6649591395,6649591435,1,8.333333333333334
,6649591400,6649591407,1,8.333333333333334
,6649591400,6649591406,1,8.333333333333334
,6649591401,6649591428,1,8.333333333333334
,6649591401,1873281080,1,8.333333333333334
,6649591406,6649591400,1,8.333333333333334
,6649591407,6649591436,1,8.333333333333334
,6649591407,6649591400,1,8.333333333333334
,6649591428,6649591401,1,8.333333333333334
,6649591435,6649591395,1,8.333333333333334
,6649591435,6649591436,1,8.333333333333334
,6649591436,6649591435,1,8.333333333333334
,6649591436,6649591407,1,8.333333333333334
,6651520259,11169499141,1,8.333333333333334
Thekedar Surjit Singh Marg-685106016,6651520259,6419492014,1,8.333333333333334
,6669975440,9860183857,1,8.333333333333334
,6673229091,11021406439,1,8.333333333333334
Canal Road-292622188,6673229091,9863295101,1,8.333333333333334
Canal Road-292622188,6673229091,2961579581,1,8.333333333333334
,6673229093,6725638880,1,8.333333333333334
Chhatra Marg-719561144,6673603002,6673603004,2,8.333333333333334
Chhatra Marg-719561144,6673603004,6754944634,2,8.333333333333334
,6725638873,6750772751,1,8.333333333333334
,6725638873,6725638875,1,8.333333333333334
,6725638873,6750772748,1,8.333333333333334
,6725638874,6725669987,1,8.333333333333334
,6725638874,9860247413,1,8.333333333333334
,6725638874,6734556558,1,8.333333333333334
,6725638875,6750772759,1,8.333333333333334
,6725638875,6725638873,1,8.333333333333334
,6725638875,11138682415,1,8.333333333333334
,6725638880,11021406439,1,8.333333333333334
,6725638880,6673229093,1,8.333333333333334
,6725638880,6725638881,1,8.333333333333334
,6725638881,11478251948,1,8.333333333333334
,6725638881,6734556558,1,8.333333333333334
,6725638881,6725638880,1,8.333333333333334
,6725638881,9860247413,1,8.333333333333334
,6725669987,6725638874,1,8.333333333333334
,6725669987,6734556557,1,8.333333333333334
,6725669987,9860247414,1,8.333333333333334
,6725669989,6734556557,1,8.333333333333334
,6725669989,6725669990,1,8.333333333333334
,6725669989,11478251948,1,8.333333333333334
,6725669990,11478251948,1,8.333333333333334
,6725669990,6725669989,1,8.333333333333334
,6726426698,6734556562,1,8.333333333333334
